"TF","TargetGene"
"Stat1(+)","Pfkp"
"Stat1(+)","Psma2"
"Stat1(+)","Inhba"
"Stat1(+)","Gpr141"
"Stat1(+)","Aoah"
"Stat1(+)","E2f3"
"Stat1(+)","Serpinb1c"
"Stat1(+)","Cdyl"
"Stat1(+)","Tmem170b"
"Stat1(+)","Mylip"
"Stat1(+)","Fbxw17"
"Stat1(+)","Drd1"
"Stat1(+)","Hrh2"
"Stat1(+)","Hk3"
"Stat1(+)","Zfp346"
"Stat1(+)","Tgfbi"
"Stat1(+)","Idnk"
"Stat1(+)","Ntrk2"
"Stat1(+)","Rsl1"
"Stat1(+)","Erap1"
"Stat1(+)","Glrx"
"Stat1(+)","Zfp366"
"Stat1(+)","Cd180"
"Stat1(+)","Ppwd1"
"Stat1(+)","Mcidas"
"Stat1(+)","Parp8"
"Stat1(+)","Gm21188"
"Stat1(+)","BC147527"
"Stat1(+)","Rab10"
"Stat1(+)","Kif3c"
"Stat1(+)","Dtnb"
"Stat1(+)","Efr3b"
"Stat1(+)","Ldah"
"Stat1(+)","Nbas"
"Stat1(+)","Rsad2"
"Stat1(+)","Cmpk2"
"Stat1(+)","Rnaseh1"
"Stat1(+)","Slc26a3"
"Stat1(+)","Nampt"
"Stat1(+)","Atxn7l1"
"Stat1(+)","Foxg1"
"Stat1(+)","Scfd1"
"Stat1(+)","Nkx2-9"
"Stat1(+)","Psma3"
"Stat1(+)","Slc38a6"
"Stat1(+)","Hif1a"
"Stat1(+)","Ptgr2"
"Stat1(+)","Arel1"
"Stat1(+)","Batf"
"Stat1(+)","Serpina3f"
"Stat1(+)","Serpina3g"
"Stat1(+)","Serpina3n"
"Stat1(+)","Wars"
"Stat1(+)","Wdr25"
"Stat1(+)","Dync1h1"
"Stat1(+)","Traf3"
"Stat1(+)","Exoc3l4"
"Stat1(+)","Tnfaip2"
"Stat1(+)","Gm266"
"Stat1(+)","Inf2"
"Stat1(+)","Gpr132"
"Stat1(+)","Fyb"
"Stat1(+)","Dpys"
"Stat1(+)","Trps1"
"Stat1(+)","Rnf139"
"Stat1(+)","Fam49b"
"Stat1(+)","Ly6e"
"Stat1(+)","Ly6i"
"Stat1(+)","Ly6a"
"Stat1(+)","Ly6c2"
"Stat1(+)","Gsdmd"
